book,chapter,total_verses,total_lines,total_words,avg_words_per_line,avg_chars_per_line,max_line_chars,min_line_chars,lines_per_verse,short_line_ratio,max_consec_short_lines,aictp_count,aictp_rate,future_aictp,isay_count,isay_per_1k,caused_that_count,caused_that_per_1k,began_to_count,began_to_per_1k,question_count,question_per_verse,wo_count,behold_count,behold_per_1k,verily_count,thus_we_see,brethren_count
helaman,15,17,93,825,8.87,47.9,85,18,5.47,0.108,3,0,0.0,0,3,3.64,1,1.21,0,0.0,0,0.0,2,10,12.12,0,0,2
helaman,16,25,106,1025,9.67,49.8,90,25,4.24,0.028,4,2,0.08,0,0,0.0,0,0.0,7,6.83,2,0.08,0,6,5.85,0,0,0
3nephi,1,30,142,1340,9.44,48.4,89,20,4.73,0.127,3,16,0.533,0,0,0.0,0,0.0,13,9.7,0,0.0,0,9,6.72,0,0,0
3nephi,2,19,84,769,9.15,49.7,87,21,4.42,0.083,4,7,0.368,0,0,0.0,0,0.0,7,9.1,0,0.0,0,0,0.0,0,0,0
3nephi,3,26,157,1352,8.61,46.6,98,15,6.04,0.172,3,4,0.154,0,0,0.0,5,3.7,0,0.0,0,0.0,0,4,2.96,0,0,0
3nephi,4,33,162,1514,9.35,49.5,96,17,4.91,0.086,3,12,0.364,0,0,0.0,1,0.66,4,2.64,0,0.0,0,5,3.3,0,0,0
3nephi,5,26,102,931,9.13,47.3,81,5,3.92,0.118,3,1,0.038,0,0,0.0,0,0.0,0,0.0,0,0.0,0,5,5.37,0,0,0
3nephi,6,30,131,1200,9.16,49.4,89,17,4.37,0.084,3,6,0.2,0,0,0.0,0,0.0,4,3.33,0,0.0,0,1,0.83,0,0,0
3nephi,7,26,127,1129,8.89,47.8,81,20,4.88,0.118,3,5,0.192,0,0,0.0,0,0.0,1,0.89,0,0.0,0,2,1.77,0,0,0
3nephi,8,25,97,871,8.98,47.3,95,16,3.88,0.103,4,6,0.24,0,0,0.0,0,0.0,2,2.3,0,0.0,0,6,6.89,0,0,0
3nephi,9,22,107,965,9.02,46.6,84,17,4.86,0.075,2,1,0.045,0,1,1.04,0,0.0,0,0.0,1,0.045,2,12,12.44,1,0,0
3nephi,10,19,92,807,8.77,45.8,87,11,4.84,0.12,3,5,0.263,0,1,1.24,0,0.0,1,1.24,2,0.105,0,7,8.67,0,0,0
3nephi,11,41,168,1434,8.54,42.8,100,5,4.1,0.125,4,9,0.22,0,8,5.58,0,0.0,0,0.0,0,0.0,0,10,6.97,10,0,0
3nephi,12,48,149,1295,8.69,43.9,80,19,3.1,0.141,4,1,0.021,0,11,8.49,1,0.77,0,0.0,3,0.062,0,10,7.72,14,0,0
3nephi,13,34,98,834,8.51,43.6,81,5,2.88,0.112,2,1,0.029,0,5,6.0,0,0.0,0,0.0,7,0.206,0,2,2.4,5,0,0
3nephi,14,27,74,625,8.45,42.1,74,17,2.74,0.081,2,1,0.037,0,1,1.6,0,0.0,0,0.0,7,0.259,0,2,3.2,2,0,0
3nephi,15,24,81,731,9.02,45.8,85,19,3.38,0.123,2,3,0.125,0,5,6.84,0,0.0,0,0.0,0,0.0,0,9,12.31,4,0,0
3nephi,16,20,100,913,9.13,46.2,80,15,5.0,0.14,5,0,0.0,0,3,3.29,0,0.0,0,0.0,0,0.0,0,3,3.29,6,0,0
3nephi,17,25,100,879,8.79,44.5,78,18,4.0,0.09,4,8,0.32,0,0,0.0,0,0.0,0,0.0,2,0.08,0,7,7.96,0,0,0
3nephi,18,39,144,1344,9.33,47.1,102,19,3.69,0.097,2,7,0.179,0,3,2.23,0,0.0,0,0.0,0,0.0,1,10,7.44,6,0,0
3nephi,19,36,138,1232,8.93,45.9,83,8,3.83,0.152,4,14,0.389,0,1,0.81,2,1.62,2,1.62,0,0.0,0,12,9.74,1,0,0
3nephi,20,46,176,1538,8.74,45.1,85,17,3.83,0.119,3,3,0.065,4,5,3.25,0,0.0,0,0.0,0,0.0,0,8,5.2,7,0,0
3nephi,21,29,123,1155,9.39,47.4,84,20,4.24,0.073,2,0,0.0,5,4,3.46,1,0.87,0,0.0,0,0.0,0,2,1.73,5,0,0
3nephi,22,17,57,507,8.89,47.0,85,18,3.35,0.07,2,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,3,5.92,0,0,0
3nephi,23,14,49,415,8.47,44.3,85,14,3.5,0.224,4,5,0.357,0,2,4.82,0,0.0,0,0.0,2,0.143,0,2,4.82,1,0,0
3nephi,24,18,68,618,9.09,46.1,79,23,3.78,0.059,2,2,0.111,0,0,0.0,0,0.0,0,0.0,6,0.333,0,2,3.24,0,0,0
3nephi,25,6,18,183,10.17,50.6,84,18,3.0,0.056,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,10.93,0,0,0
3nephi,26,21,92,793,8.62,44.9,81,13,4.38,0.087,3,6,0.286,0,0,0.0,0,0.0,0,0.0,0,0.0,0,4,5.04,0,0,0
3nephi,27,33,142,1287,9.06,44.3,85,19,4.3,0.106,4,3,0.091,1,6,4.66,0,0.0,0,0.0,5,0.152,0,7,5.44,8,0,0
3nephi,28,40,160,1453,9.08,45.7,82,11,4.0,0.106,4,4,0.1,1,0,0.0,0,0.0,0,0.0,3,0.075,0,10,6.88,0,0,0
3nephi,29,9,41,394,9.61,48.5,79,18,4.56,0.098,2,0,0.0,0,1,2.54,1,2.54,0,0.0,0,0.0,4,4,10.15,0,0,0
3nephi,30,2,16,130,8.12,44.0,70,17,8.0,0.25,2,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,7.69,0,0,0
4nephi,1,49,216,1949,9.02,47.6,91,18,4.41,0.111,3,20,0.408,0,0,0.0,0,0.0,7,3.59,0,0.0,0,2,1.03,0,0,0
mormon,1,19,78,705,9.04,47.4,82,21,4.11,0.115,2,7,0.368,0,0,0.0,0,0.0,4,5.67,0,0.0,0,2,2.84,0,0,0
mormon,2,29,128,1261,9.85,51.4,126,16,4.41,0.062,3,19,0.655,0,0,0.0,0,0.0,6,4.76,0,0.0,0,9,7.14,0,0,0
mormon,3,22,99,937,9.46,48.2,80,19,4.5,0.091,2,8,0.364,0,0,0.0,0,0.0,2,2.13,0,0.0,0,6,6.4,0,0,0
mormon,4,23,86,822,9.56,51.3,84,18,3.74,0.093,2,10,0.435,0,0,0.0,0,0.0,2,2.43,0,0.0,0,1,1.22,0,0,0
mormon,5,24,117,1067,9.12,47.6,84,21,4.88,0.077,6,6,0.25,1,0,0.0,0,0.0,0,0.0,3,0.125,0,11,10.31,0,0,0
mormon,6,22,99,913,9.22,46.5,95,10,4.5,0.131,3,9,0.409,0,0,0.0,0,0.0,1,1.1,0,0.0,0,8,8.76,0,0,0
mormon,7,10,49,453,9.24,46.2,70,5,4.9,0.122,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,4.42,0,0,0
mormon,8,41,199,1719,8.64,43.9,79,14,4.85,0.166,4,1,0.024,0,1,0.58,1,0.58,0,0.0,7,0.171,1,27,15.71,0,0,0
mormon,9,37,178,1561,8.77,45.1,85,5,4.81,0.118,5,0,0.0,0,5,3.2,2,1.28,0,0.0,17,0.459,0,19,12.17,0,0,0
ether,1,43,104,901,8.66,42.4,77,18,2.42,0.077,5,5,0.116,0,0,0.0,0,0.0,0,0.0,1,0.023,0,1,1.11,0,0,0
ether,2,25,151,1370,9.07,45.4,82,7,6.04,0.106,3,10,0.4,0,0,0.0,0,0.0,0,0.0,4,0.16,0,13,9.49,0,0,0
ether,3,28,138,1253,9.08,45.6,83,7,4.93,0.101,3,4,0.143,0,0,0.0,0,0.0,0,0.0,4,0.143,0,15,11.97,0,0,0
ether,4,19,94,891,9.48,48.1,84,5,4.95,0.053,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,4,4.49,0,0,0
ether,5,6,24,226,9.42,46.8,74,5,4.0,0.083,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,4.42,0,0,0
